price_list_type,id,group_revision_id,unique_id,brand,brand_id,model,model_id,params,full_name,vehicle_type,vehicle_type_ua,vehicle_type_id,season,season_ua,season_id,width,height,diameter,load_index,load_index_with_desc,speed_index,speed_index_with_desc,country_manufacturer,country_manufacturer_ua,manufacture_year,reinforce,studded,homologation,run_flat,silent,seal,demo,provider_id,provider,city,city_ua,tt_provider,foreign_id,update_date,update_date_pts,in_stock,source_price_wholesale,source_price_wholesale_original,source_price_wholesale_original_currency,source_price_retail,user_price_wholesale,user_price,user_delivery_price,user_price_plus_user_delivery_price,offer_num,photo_file_name,photo_url,section_open_cart,size_only_digits
Р»РµРіРєРѕРІС‹Рµ С€РёРЅС‹,264302,264302,1000264302,BFGoodrich,1241,Activan,709,185/75 R16C 104/102R,BFGoodrich Activan 185/75 R16C 104/102R,Р»РµРіРєРѕРіСЂСѓР·РѕРІРѕР№,Р»РµРіРєРѕРІР°РЅС‚Р°Р¶РЅРёР№,8,Р»РµС‚РЅСЏСЏ,Р»С–С‚РЅСЏ,1,185,75,16,104/102,104(900РєРі)/102(850РєРі),R,R(170РєРј/С‡Р°СЃ),Р СѓРјС‹РЅРёСЏ,Р СѓРјСѓРЅС–СЏ,2021,C,,,,,,,1821,Рђ РўР°РµСЂСЃ,РљРёРµРІ,РљРёС—РІ,kiev_ Рђ РўР°РµСЂСЃ,,2022-10-04 12:06,1664874361,4,2275,2275.00,uah,2556,2275,3781,0,3781,1,tyre/709.400x400.jpg,tyre/709.400x400.jpg,РЁРёРЅС‹,1857516
Р»РµРіРєРѕРІС‹Рµ С€РёРЅС‹,264299,264299,1000264299,BFGoodrich,1241,Activan,709,195/65 R16C 104/102R,BFGoodrich Activan 195/65 R16C 104/102R,Р»РµРіРєРѕРіСЂСѓР·РѕРІРѕР№,Р»РµРіРєРѕРІР°РЅС‚Р°Р¶РЅРёР№,8,Р»РµС‚РЅСЏСЏ,Р»С–С‚РЅСЏ,1,195,65,16,104/102,104(900РєРі)/102(850РєРі),R,R(170РєРј/С‡Р°СЃ),Р СѓРјС‹РЅРёСЏ,Р СѓРјСѓРЅС–СЏ,2021,C,,,,,,,1821,Рђ РўР°РµСЂСЃ,РљРёРµРІ,РљРёС—РІ,kiev_ Рђ РўР°РµСЂСЃ,,2022-10-04 12:06,1664874361,4,2975,2975.00,uah,3342,2975,4852,0,4852,1,tyre/709.400x400.jpg,tyre/709.400x400.jpg,РЁРёРЅС‹,1956516
Р»РµРіРєРѕРІС‹Рµ С€РёРЅС‹,263127,263127,1000263127,BFGoodrich,1241,Activan,709,205/70 R15C 106/104R,BFGoodrich Activan 205/70 R15C 106/104R,Р»РµРіРєРѕРіСЂСѓР·РѕРІРѕР№,Р»РµРіРєРѕРІР°РЅС‚Р°Р¶РЅРёР№,8,Р»РµС‚РЅСЏСЏ,Р»С–С‚РЅСЏ,1,205,70,15,106/104,106(950РєРі)/104(900РєРі),R,R(170РєРј/С‡Р°СЃ),Р СѓРјС‹РЅРёСЏ,Р СѓРјСѓРЅС–СЏ,2016,C,,,,,,,1821,Рђ РўР°РµСЂСЃ,РљРёРµРІ,РљРёС—РІ,kiev_ Рђ РўР°РµСЂСЃ,,2022-10-04 12:06,1664874361,2,2395,2395.00,uah,2691,2395,4012,0,4012,1,tyre/709.400x400.jpg,tyre/709.400x400.jpg,РЁРёРЅС‹,2057015
Р»РµРіРєРѕРІС‹Рµ С€РёРЅС‹,270165,270165,1000270165,BFGoodrich,1241,Activan,709,215/75 R16C 116/114R,BFGoodrich Activan 215/75 R16C 116/114R,Р»РµРіРєРѕРіСЂСѓР·РѕРІРѕР№,Р»РµРіРєРѕРІР°РЅС‚Р°Р¶РЅРёР№,8,Р»РµС‚РЅСЏСЏ,Р»С–С‚РЅСЏ,1,215,75,16,116/114,116(1250РєРі)/114(1180РєРі),R,R(170РєРј/С‡Р°СЃ),РџРѕР»СЊС€Р°,РџРѕР»СЊС‰Р°,2021,C,,,,,,,1821,Рђ РўР°РµСЂСЃ,РљРёРµРІ,РљРёС—РІ,kiev_ Рђ РўР°РµСЂСЃ,,2022-10-04 12:06,1664874361,2,3650,3650.00,uah,4101,3650,5885,0,5885,1,tyre/709.400x400.jpg,tyre/709.400x400.jpg,РЁРёРЅС‹,2157516
Р»РµРіРєРѕРІС‹Рµ С€РёРЅС‹,276551,276551,1000276551,BFGoodrich,1241,Activan Winter,710,215/60 R16C 103/101T,BFGoodrich Activan Winter 215/60 R16C 103/101T,Р»РµРіРєРѕРіСЂСѓР·РѕРІРѕР№,Р»РµРіРєРѕРІР°РЅС‚Р°Р¶РЅРёР№,8,Р·РёРјРЅСЏСЏ,Р·РёРјРѕРІР°,2,215,60,16,103/101,103(875РєРі)/101(825РєРі),T,T(190РєРј/С‡Р°СЃ),Р СѓРјС‹РЅРёСЏ,Р СѓРјСѓРЅС–СЏ,2020,C,,,,,,,1821,Рђ РўР°РµСЂСЃ,РљРёРµРІ,РљРёС—РІ,kiev_ Рђ РўР°РµСЂСЃ,,2022-10-04 12:06,1664874361,2,3850,3850.00,uah,4325,3850,6191,0,6191,1,tyre/710.400x400.jpg,tyre/710.400x400.jpg,РЁРёРЅС‹,2156016
Р»РµРіРєРѕРІС‹Рµ С€РёРЅС‹,304176,304176,1000304176,Dunlop,1314,Econodrive,1343,215/70 R15C 109/107S,Dunlop Econodrive 215/70 R15C 109/107S,Р»РµРіРєРѕРіСЂСѓР·РѕРІРѕР№,Р»РµРіРєРѕРІР°РЅС‚Р°Р¶РЅРёР№,8,Р»РµС‚РЅСЏСЏ,Р»С–С‚РЅСЏ,1,215,70,15,109/107,109(1030РєРі)/107(975РєРі),S,S(180РєРј/С‡Р°СЃ),РўР°РёР»Р°РЅРґ,РўР°С—Р»Р°РЅРґ,2021,C,,,,,,,1821,Рђ РўР°РµСЂСЃ,РљРёРµРІ,РљРёС—РІ,kiev_ Рђ РўР°РµСЂСЃ,,2022-10-04 12:06,1664874361,4,3750,3750.00,uah,4213,3750,6113,0,6113,1,tyre/1343.400x400.jpg,tyre/1343.400x400.jpg,РЁРёРЅС‹,2157015
Р»РµРіРєРѕРІС‹Рµ С€РёРЅС‹,379581,379581,1000379581,Dunlop,1314,Econodrive,1343,225/65 R16C 112/110R,Dunlop Econodrive 225/65 R16C 112/110R,Р»РµРіРєРѕРіСЂСѓР·РѕРІРѕР№,Р»РµРіРєРѕРІР°РЅС‚Р°Р¶РЅРёР№,8,Р»РµС‚РЅСЏСЏ,Р»С–С‚РЅСЏ,1,225,65,16,112/110,112(1120РєРі)/110(1060РєРі),R,R(170РєРј/С‡Р°СЃ),РўР°РёР»Р°РЅРґ,РўР°С—Р»Р°РЅРґ,2020,C,,,,,,,1821,Рђ РўР°РµСЂСЃ,РљРёРµРІ,РљРёС—РІ,kiev_ Рђ РўР°РµСЂСЃ,,2022-10-04 12:06,1664874361,2,3495,3495.00,uah,3927,3495,5647,0,5647,1,tyre/1343.400x400.jpg,tyre/1343.400x400.jpg,РЁРёРЅС‹,2256516
Р»РµРіРєРѕРІС‹Рµ С€РёРЅС‹,301853,301853,1000301853,Dunlop,1314,Econodrive,1343,225/70 R15C 112/110S,Dunlop Econodrive 225/70 R15C 112/110S,Р»РµРіРєРѕРіСЂСѓР·РѕРІРѕР№,Р»РµРіРєРѕРІР°РЅС‚Р°Р¶РЅРёР№,8,Р»РµС‚РЅСЏСЏ,Р»С–С‚РЅСЏ,1,225,70,15,112/110,112(1120РєРі)/110(1060РєРі),S,S(180РєРј/С‡Р°СЃ),РўР°РёР»Р°РЅРґ,РўР°С—Р»Р°РЅРґ,2020,C,,,,,,,1821,Рђ РўР°РµСЂСЃ,РљРёРµРІ,РљРёС—РІ,kiev_ Рђ РўР°РµСЂСЃ,,2022-10-04 12:06,1664874361,4,3350,3350.00,uah,3764,3350,5493,0,5493,1,tyre/1343.400x400.jpg,tyre/1343.400x400.jpg,РЁРёРЅС‹,2257015
Р»РµРіРєРѕРІС‹Рµ С€РёРЅС‹,339804,339804,1000339804,Dunlop,1314,Econodrive,1343,235/65 R16C 115/113R,Dunlop Econodrive 235/65 R16C 115/113R,Р»РµРіРєРѕРіСЂСѓР·РѕРІРѕР№,Р»РµРіРєРѕРІР°РЅС‚Р°Р¶РЅРёР№,8,Р»РµС‚РЅСЏСЏ,Р»С–С‚РЅСЏ,1,235,65,16,115/113,115(1215РєРі)/113(1150РєРі),R,R(170РєРј/С‡Р°СЃ),РўР°РёР»Р°РЅРґ,РўР°С—Р»Р°РЅРґ,2021,C,,,,,,,1821,Рђ РўР°РµСЂСЃ,РљРёРµРІ,РљРёС—РІ,kiev_ Рђ РўР°РµСЂСЃ,,2022-10-04 12:06,1664874361,2,4250,4250.00,uah,4775,4250,6803,0,6803,1,tyre/1343.400x400.jpg,tyre/1343.400x400.jpg,РЁРёРЅС‹,2356516
Р»РµРіРєРѕРІС‹Рµ С€РёРЅС‹,381964,381964,1000381964,Fulda,1359,Conveo Trac 3,11715,195/60 R16C 99/97T,Fulda Conveo Trac 3 195/60 R16C 99/97T,Р»РµРіРєРѕРіСЂСѓР·РѕРІРѕР№,Р»РµРіРєРѕРІР°РЅС‚Р°Р¶РЅРёР№,8,Р·РёРјРЅСЏСЏ,Р·РёРјРѕРІР°,2,195,60,16,99/97,99(775РєРі)/97(730РєРі),T,T(190РєРј/С‡Р°СЃ),РўСѓСЂС†РёСЏ,РўСѓСЂРµС‡С‡РёРЅР°,2022,C,,,,,,,1821,Рђ РўР°РµСЂСЃ,РљРёРµРІ,РљРёС—РІ,kiev_ Рђ РўР°РµСЂСЃ,,2022-10-04 12:06,1664874361,12,3750,3750.00,uah,4213,3750,6038,0,6038,1,tyre/11715.400x400.jpg,tyre/11715.400x400.jpg,РЁРёРЅС‹,1956016
