price_list_type,id,unique_id,brand,model,model_id,full_name,fullname_color_full,fullname_hotline,width,diameter,pcd,pcd2,et,dia,color,color_short,color_id,type,type_id,bolt_count,bolt_count_pcd,provider_id,provider,city,city_ua,tt_provider,foreign_id,update_date,in_stock,source_price_wholesale,source_price_wholesale_original,source_price_wholesale_original_currency,source_price_retail,user_price_wholesale,user_price,user_delivery_price,user_price_plus_user_delivery_price,offer_num,photo_file_name,photo_url,size_only_digits
Диски,1545972,2001545972,Диск,NoName,1,Диск NoName 9x22.5 10x335 ET175 DIA281,Диск NoName 9x22.5 10x335 ET175 DIA281,Диск NoName (R22.5 W9 PCD10x335 ET175 DIA281),9,"22,5",335,0,175,281,,,,,,10,10x335,1724,100Шин,Одесса,Одеса,od_100Шин,27585,2022-10-04 09:21,20,4600,4600,uah,0,4600,0,0,0,1,disk/1.10.400x400.jpg,disk/1.10.400x400.jpg,2259335010281175
Диски,1893513,2001893513,Диск,NoName,1,Диск NoName 11.75x22.5 10x335 ET0 DIA281 S,Диск NoName 11.75x22.5 10x335 ET0 DIA281 Silver (Серебро),Диск NoName (R22.5 W11.75 PCD10x335 ET0 DIA281 S),"11,75","22,5",335,0,0,281,Silver (Серебро),S,64,,,10,10x335,1724,100Шин,Одесса,Одеса,od_100Шин,27706,2022-10-04 09:21,4,5750,5750,uah,0,5750,0,0,0,1,disk/1.64.400x400.jpg,disk/1.64.400x400.jpg,22511753350102810
Диски,1901305,2001901305,Диск,NoName,1,Диск NoName 6.75x17.5 10x225 ET135 DIA176,Диск NoName 6.75x17.5 10x225 ET135 DIA176,Диск NoName (R17.5 W6.75 PCD10x225 ET135 DIA176),"6,75","17,5",225,0,135,176,,,,,,10,10x225,1724,100Шин,Одесса,Одеса,od_100Шин,27224,2022-10-04 09:21,1,3440,3440,uah,0,3440,0,0,0,1,disk/1.10.400x400.jpg,disk/1.10.400x400.jpg,175675225010176135
Диски,1921355,2001921355,Диск,NoName,1,Диск NoName 9x22.5 10x335 ET175 DIA281 S,Диск NoName 9x22.5 10x335 ET175 DIA281 Silver (Серебро),Диск NoName (R22.5 W9 PCD10x335 ET175 DIA281 S),9,"22,5",335,0,175,281,Silver (Серебро),S,64,,,10,10x335,1724,100Шин,Одесса,Одеса,od_100Шин,27705,2022-10-04 09:21,14,5000,5000,uah,0,5000,0,0,0,1,disk/1.64.400x400.jpg,disk/1.64.400x400.jpg,2259335010281175
Диски,1563674,2001563674,Kapitan,Сталь,6397,Kapitan Сталь 6.75x17.5 6x222.25 ET140 DIA164,Kapitan Сталь 6.75x17.5 6x222.25 ET140 DIA164,Kapitan Сталь (R17.5 W6.75 PCD6x222.25 ET140 DIA164),"6,75","17,5","222,25",0,140,164,,,,стальной,1,6,6x222.25,1724,100Шин,Одесса,Одеса,od_100Шин,26906,2022-10-04 09:21,4,1800,1800,uah,0,1800,0,0,0,1,disk/6397.10.400x400.jpg,disk/6397.10.400x400.jpg,1756752222506164140
Диски,1898319,2001898319,Kapitan,Сталь,6397,Kapitan Сталь 14x19.5 8x275 ET120 DIA221,Kapitan Сталь 14x19.5 8x275 ET120 DIA221,Kapitan Сталь (R19.5 W14 PCD8x275 ET120 DIA221),14,"19,5",275,0,120,221,,,,стальной,1,8,8x275,1724,100Шин,Одесса,Одеса,od_100Шин,12047,2022-10-04 09:21,1,4750,4750,uah,0,4750,0,0,0,1,disk/6397.10.400x400.jpg,disk/6397.10.400x400.jpg,1951427508221120
Диски,1920902,2001920902,Дорожная Карта,,6398,Дорожная Карта  11.75x22.5 10x335 ET135 DIA281 S,Дорожная Карта  11.75x22.5 10x335 ET135 DIA281 Silver (Серебро),Дорожная Карта  (R22.5 W11.75 PCD10x335 ET135 DIA281 S),"11,75","22,5",335,0,135,281,Silver (Серебро),S,64,стальной,1,10,10x335,1724,100Шин,Одесса,Одеса,od_100Шин,27105,2022-10-04 09:21,2,5900,5900,uah,0,5900,0,0,0,1,disk/6398.64.400x400.jpg,disk/6398.64.400x400.jpg,2251175335010281135
Диски,1920904,2001920904,Дорожная Карта,,6398,Дорожная Карта  11.75x22.5 10x335 ET120 DIA281 S,Дорожная Карта  11.75x22.5 10x335 ET120 DIA281 Silver (Серебро),Дорожная Карта  (R22.5 W11.75 PCD10x335 ET120 DIA281 S),"11,75","22,5",335,0,120,281,Silver (Серебро),S,64,стальной,1,10,10x335,1724,100Шин,Одесса,Одеса,od_100Шин,2014,2022-10-04 09:21,1,5500,5500,uah,0,5500,0,0,0,1,disk/6398.64.400x400.jpg,disk/6398.64.400x400.jpg,2251175335010281120
Диски,1131745,2001131745,Better,Сталь,6480,Better Сталь 9x22.5 10x335 ET175 DIA281 S,Better Сталь 9x22.5 10x335 ET175 DIA281 Silver (Серебро),Better Сталь (R22.5 W9 PCD10x335 ET175 DIA281 S),9,"22,5",335,0,175,281,Silver (Серебро),S,64,стальной,1,10,10x335,1724,100Шин,Одесса,Одеса,od_100Шин,28233,2022-10-04 09:21,20,4700,4700,uah,0,4700,0,0,0,1,disk/6480.64.400x400.jpg,disk/6480.64.400x400.jpg,2259335010281175
Диски,1132488,2001132488,Better,Сталь,6480,Better Сталь 11.75x22.5 10x335 ET0 DIA281 S,Better Сталь 11.75x22.5 10x335 ET0 DIA281 Silver (Серебро),Better Сталь (R22.5 W11.75 PCD10x335 ET0 DIA281 S),"11,75","22,5",335,0,0,281,Silver (Серебро),S,64,стальной,1,10,10x335,1724,100Шин,Одесса,Одеса,od_100Шин,85,2022-10-04 09:21,1,5400,5400,uah,0,5400,0,0,0,1,disk/6480.64.400x400.jpg,disk/6480.64.400x400.jpg,22511753350102810
